expected_file,agent_answer,gold,document_found,exact,substring,token_recall,jaccard,rouge1_f,overlap,bleu,bert_cos
documento_620_100.1003.docx,"FINAL ANSWER: De acordo com o Documento Gerado #620, o percurso institucional é:
- Parecer favorável do MNE; depois, aprovação pela Assembleia da República por resolução, “conforme estipulado no artigo 166.º da Constituição”;
- Segue-se a “assinatura [do] instrumento de ratificação […] pelo Senhor Presidente da República”;
- Por fim, “a comunicação da ratificação será feita junto das Nações Unidas, com o depósito do instrumento de ratificação na entidade competente”.

Citações:
- “A convenção será submetida à Assembleia da República para aprovação através de resolução, conforme estipulado no artigo 166.º da Constituição.” 
- “Após a aprovação parlamentar, o instrumento de ratificação será assinado pelo Senhor Presidente da República…”
- “A comunicação da ratificação será feita junto das Nações Unidas, com o depósito do instrumento de ratificação na entidade competente…”

Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_620_100.1003.docx","O percurso indicado é: (1) parecer favorável do Ministério dos Negócios Estrangeiros, via Direcção-Geral dos Assuntos Internacionais; (2) submissão da convenção à Assembleia da República para aprovação por resolução, ao abrigo do artigo 166.º da Constituição; (3) após aprovação parlamentar, assinatura do instrumento de ratificação pelo Senhor Presidente da República; e (4) comunicação da ratificação e depósito do instrumento junto das Nações Unidas, na entidade competente.",True,False,False,0.6909090909090909,0.36,0.5046728922001923,0.5625,0.49945078586515446,0.8655227422714233
documento_270_100.10.02.docx,"FINAL ANSWER: Prazo final: 30 de Novembro de 2023. Após esse prazo, serão aplicadas as penalizações previstas no Código Municipal. 
“pagamento das Notas de Débito emitidas até ao dia 30 de Novembro de 2023. Após essa data, serão aplicadas as penalizações previstas no Código Municipal.”
Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_270_100.10.02.docx","O pagamento deve ser efetuado até 30 de Novembro de 2023. Após essa data, serão aplicadas as penalizações previstas no Código Municipal.",True,False,False,0.8095238095238095,0.391304347826087,0.5624999954882813,0.8181818181818182,0.4180593901820374,0.8235661387443542
documento_518_100.10.02.docx,"FINAL ANSWER: Data de vencimento: 12 de abril de 2023; valor: €250,00; motivo: Taxa de Ocupação de Espaço Público. Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_518_100.10.02.docx — “Nota de Débito nº 2023/002 … Valor: €250,00 … Motivo: Taxa de Ocupação de Espaço Público … Data de Vencimento: 12 de abril de 2023.”","A Nota de Débito nº 2023/002 vence em 12 de abril de 2023, tem valor de €250,00 e o motivo é Taxa de Ocupação de Espaço Público.",True,False,False,0.6956521739130435,0.2857142857142857,0.4489795868887963,0.4666666666666667,0.5,0.8101476430892944
documento_606_100.10.200.docx,"FINAL ANSWER: Segundo o despacho, após a aprovação do projeto do Regulamento Geral sobre a Gestão de Resíduos Sólidos Urbanos, as etapas formais até à implementação são:
- Entrada em vigor com prazo definido: “entra em vigor no dia 1 de janeiro de 2024.” 
- Publicação oficial: “proceda à publicitação do presente regulamento em Diário da República, para que produza os seus efeitos legais.”
- Disseminação e capacitação: a Direção-Geral da Administração Pública deve “assegure a disseminação do regulamento junto das entidades locais e demais organismos relevantes, promovendo ações de sensibilização e esclarecimento sobre as novas disposições.”

Órgãos envolvidos:
- Direção-Geral da Administração Pública (responsável pela disseminação e sensibilização)
- Diário da República (publicação para efeitos legais)
- Entidades destinatárias/cc: Ministério do Ambiente, Agência Portuguesa do Ambiente, Direções Regionais de Ambiente, Municípios de Portugal

Fonte: “C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_906_100.10.200.docx”
Trechos: “aprovo o Regulamento... o qual entra em vigor no dia 1 de janeiro de 2024.”; “proceda à publicitação... em Diário da República”; “assegure a disseminação... promovendo ações de sensibilização e esclarecimento.”","- Realizar a verificação jurídica do regulamento, para assegurar o cumprimento de todos os procedimentos legais.
- Submeter o regulamento ao Conselho de Ministros para aprovação final e ratificação.
- Após a aprovação, publicitar o regulamento no Diário da República, conforme as normas de divulgação de atos normativos.
- Implementar as disposições do regulamento no prazo de 30 dias, contado a partir da data da publicação no Diário da República.",False,False,False,0.45454545454545453,0.1417910447761194,0.2435897393293886,0.3958333333333333,0.23529411764705885,0.7460964918136597
documento_346_100.10.02.docx,"FINAL ANSWER: Valores devidos em 2022 (discriminados por tributo) — Sr. João da Silva:
- IPTU (2022): R$ 1.200,00; vencimento: 30/04/2022 (fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_127_100.10.02.docx — “Imposto Predial e Territorial Urbano (IPTU)… Valor Devido: R$ 1.200,00… Data de Vencimento: 30 de Abril de 2022”)
- Taxa de Licenciamento de Funcionamento (2022): R$ 450,00; vencimento: 15/03/2022 (fonte: mesmo arquivo — “Taxa de Licenciamento de Funcionamento… Valor Devido: R$ 450,00… Data de Vencimento: 15 de Março de 2022”)
- Taxa de Coleta de Lixo (2022): R$ 300,00; vencimento: 30/06/2022 (fonte: mesmo arquivo — “Taxa de Coleta de Lixo… Valor Devido: R$ 300,00… Data de Vencimento: 30 de Junho de 2022”)
Total: R$ 1.950,00.

Prazo para pagar e evitar multa:
- Até 15/11/2023 (fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_127_100.10.02.docx — “Solicitamos que o pagamento… seja regularizado até o dia 15 de Novembro de 2023, a fim de evitar a aplicação de penalidades”)

Percentual da multa por atraso:
- 10% (com base na notificação do IPTU 2022 mostrando principal R$ 1.000,00 e multa R$ 100,00) (fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_718_100.10.02.docx — “Valor Principal: R$ 1.000,00… Multa: R$ 100,00”)

Meios de pagamento (incluindo NIB e balcão):
- Rede bancária autorizada ou na sede da Secretaria da Fazenda (“durante o horário de atendimento ao público”) (fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_127_100.10.02.docx — “O pagamento poderá ser efetuado na rede bancária autorizada, ou diretamente na sede da Secretaria da Fazenda, … durante o horário de atendimento ao público.”)
- Tesouraria do Município ou “Pagamentos Online” no site da Prefeitura (fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_563_100.10.02.docx — “pagamento poderá ser efetuado diretamente na Tesouraria do Município ou através do site oficial da Prefeitura, na seção de ‘Pagamentos Online’.”)
- NIB para transferência: 0000 0000 0000 0000 0000 0000; também presencial no Balcão de Atendimento da Câmara Municipal (fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_344_100.10.02.docx — “Transferência bancária para o NIB: 0000 0000 0000 0000 0000 0000” e “Presencialmente no Balcão de Atendimento da Câmara Municipal”)

Horário do balcão:
- Não consta explicitado nos documentos consultados; apenas referência genérica a “horário de atendimento ao público” (fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_127_100.10.02.docx).","Os valores são:
- IMI: € 800,00
- Taxa Municipal de Gestão de Resíduos: € 200,00
- Taxa de Ocupação de Via Pública: € 200,00

Prazo para pagamento: até 30 de Novembro de 2023.
Multa por atraso: 5% do montante em dívida após o prazo.

Meios de pagamento:
1) Transferência bancária — NIB: 1234 5678 9012 3456 7890 1234
2) Pagamento presencial — Balcão do Departamento de Finanças, de segunda a sexta-feira, das 9h às 17h.",False,False,False,0.4909090909090909,0.12578616352201258,0.19047618622211035,0.3448275862068966,0.18018018018018014,0.4801517128944397
documento_148_100.APR.asdf.docx,"FINAL ANSWER: Nº do processo: 1234/2023. Assina o despacho: João Pereira, Diretor do Departamento de Administração Pública. Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_148_100.APR.asdf.docx. Citações: “solicitamos que a Sra. Maria da Silva mantenha-se atenta às publicações oficiais...” e “Este documento é parte do processo administrativo nº 1234/2023”.","Processo administrativo nº 1234/2023; o despacho é assinado por João Pereira, Diretor do Departamento de Administração Pública.",True,False,False,0.8888888888888888,0.47368421052631576,0.6428571380867347,0.8181818181818182,0.4742004099148442,0.8772639036178589
documento_562_100.10.200.docx,"FINAL ANSWER: Ofício n.º 456/2024, de 10 de março de 2024, emitido pela Assessoria Jurídica do Ministério da Administração Interna. 
Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_562_100.10.200.docx — “conforme o ofício n.º 456/2024, datado de 10 de março de 2024” (Assessoria Jurídica do MAI).","Ofício n.º 456/2024, datado de 10 de março de 2024, emitido pela Assessoria Jurídica do Ministério da Administração Interna.",True,False,False,1.0,0.8421052631578947,0.9189189139225714,0.9411764705882353,0.9,0.917708694934845
documento_441_100.10.01.docx,"FINAL ANSWER: As duas medidas são: “a criação de um regime de incentivos fiscais para empresas que adotem políticas de igualdade” e “a obrigatoriedade de auditorias anuais sobre as práticas de recrutamento e promoção”. O projeto será submetido ao Conselho de Ministros na reunião “agendada para 30 de Novembro de 2023”.
Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_441_100.10.01.docx",O projeto prevê a criação de um regime de incentivos fiscais para empresas que adotem políticas de igualdade e a obrigatoriedade de auditorias anuais sobre as práticas de recrutamento e promoção. Ele será submetido à apreciação do Conselho de Ministros na reunião agendada para 30 de Novembro de 2023.,True,False,False,0.8717948717948718,0.40425531914893614,0.5671641742392515,0.8,0.4540794188479039,0.8256649971008301
documento_648_100.10002.docx,"FINAL ANSWER: Fundamento constitucional: artigo 161 da Constituição da República Portuguesa. Comissão: Comissão Parlamentar de Negócios Estrangeiros.
- Citações e fontes:
  - “em conformidade com o artigo 161 da Constituição da República Portuguesa, sejam iniciados os trâmites necessários à sua apreciação e subsequente aprovação” (C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_623_100.10002.docx)
  - “Distribuição: … Comissão Parlamentar de Negócios Estrangeiros …” (C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_981_100.1003.docx)","O fundamento é a alínea b) do nº 1 do artigo 161 da Constituição da República Portuguesa, e o processo foi submetido à Primeira Comissão da Assembleia da República.",False,False,False,0.5217391304347826,0.21428571428571427,0.3174603127437642,0.6,0.2619047619047619,0.6905950307846069
documento_24_100.10.01.docx,"FINAL ANSWER: A Direcção-Geral da Legislação solicita que a Assembleia da República proceda à apreciação e discussão da Proposta de Lei n.º 45/2023 na próxima sessão plenária. ""solicito à Assembleia da República que proceda à sua apreciação e discussão na próxima sessão plenária."" Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_24_100.10.01.docx",Que a Assembleia da República proceda à apreciação e discussão da Proposta de Lei n.º 45/2023 na próxima sessão plenária.,True,False,True,1.0,0.7916666666666666,0.8260869516068055,1.0,0.7407407407407407,0.942151665687561
