expected_file,agent_answer,gold,correct_doc_retrieved,exact,substring,token_recall,jaccard,rouge1_f,overlap,bleu,bert_cos
documento_115_100.10.003.docx,"FINAL ANSWER: 
- Norma declarada inconstitucional: artigo 5.º da Lei n.º 15/2021 (“declara a inconstitucionalidade da norma constante do artigo 5.º da Lei n.º 15/2021”) — fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_735_100.10.003.docx.
- Acórdão do Tribunal Constitucional em que se baseia: Acórdão n.º 345/2023, de 10/10/2023 (“Acórdão n.º 345/2023, datado de 10 de outubro de 2023”) — fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_735_100.10.003.docx.
- Publicação no Diário da República: 1.ª série, n.º 193, de 13/10/2023 (“O Acórdão foi publicado no Diário da República, 1.ª série, n.º 193, de 13 de outubro de 2023”) — fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_735_100.10.003.docx.
- Determinação do despacho (notificação e divulgação): a comunicação deve ser enviada/notificada aos órgãos competentes e publicada no Diário da República para ampla divulgação (“Determina-se que este comunicado seja enviado aos seguintes órgãos competentes: … Adicionalmente, solicita-se que a presente comunicação seja publicada em Diário da República, a fim de assegurar a publicidade e o conhecimento amplo da decisão”) — fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_16_100.10.003.docx.","Foi declarada inconstitucional a norma do artigo 45.º, n.º 2, da Lei n.º 45/2020, de 30 de Junho. A decisão baseou-se no Acórdão n.º 123/2023, datado de 10 de Outubro de 2023. A publicação ocorreu no Diário da República, 1.ª série, n.º 198, de 14 de Outubro de 2023. O despacho determina: (1) notificar os órgãos competentes e demais entidades relevantes; e (2) divulgar a comunicação nos canais oficiais da Direcção-Geral da Administração da Justiça e enviá-la aos serviços de informação ao público para ampla divulgação.",False,False,False,0.5606060606060606,0.16494845360824742,0.2833333284013889,0.48,0.25483503431344,0.5430607199668884
documento_686_100.1003.docx,"FINAL ANSWER: 
- Data do parecer do MNE: 5 de outubro de 2023.
- Conclusão sobre encargos financeiros: “a adesão a este instrumento internacional não gera encargos financeiros significativos”.
- Lei indicada para regular o processo de aprovação: Lei n.º 43/2006, de 25 de agosto.

Fonte: “O parecer do Ministério dos Negócios Estrangeiros, datado de 5 de Outubro de 2023… não gera encargos financeiros significativos… seguindo as normas estabelecidas pela Lei n.º 43/2006, de 25 de agosto, que regula o processo de aprovação de tratados internacionais.” (C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_686_100.1003.docx)","O parecer do MNE é datado de 5 de outubro de 2023 e conclui que a adesão não gera encargos financeiros significativos. O processo deve seguir a Lei n.º 43/2006, de 25 de agosto.",True,False,False,0.8333333333333334,0.3469387755102041,0.4507042205197382,0.6153846153846154,0.4772727272727273,0.6717272996902466
documento_423_100.APR.asdf.docx,"FINAL ANSWER: Deve ser publicado no Diário Oficial do Município e divulgado nos canais de comunicação da entidade. O objetivo é “garantir amplo conhecimento por parte da população e dos colaboradores do Centro Cultural.” Fonte: ""C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_207_100.APR.docx""","Deve ser publicado no Diário da Câmara Municipal e divulgado em todos os meios disponíveis, com o objetivo de garantir o conhecimento e a adesão por parte da população.",False,False,False,0.6153846153846154,0.2571428571428571,0.4090909042561984,0.5,0.27137374058211094,0.7016098499298096
documento_502_100.20.400.docx,"FINAL ANSWER: Prazo: 30 dias, contados a partir de 15 de outubro de 2023. Instruções: a equipa técnica deve iniciar os trabalhos imediatamente e considerar todas as sugestões e consultas realizadas durante a elaboração. 
Citações: “O prazo para a entrega do documento final será de 30 dias a contar da presente data.”; “a equipe técnica inicie os trabalhos imediatamente”; “sejam consideradas todas as sugestões e consultas realizadas durante o processo de elaboração.” 
Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_502_100.20.400.docx","O prazo é de 30 dias, a contar de 15 de Outubro de 2023. Foi determinado que a equipe técnica inicie os trabalhos imediatamente e que sejam consideradas todas as sugestões e consultas realizadas durante o processo de elaboração.",True,False,False,0.8709677419354839,0.39215686274509803,0.5454545405970653,0.7222222222222222,0.5238095238095238,0.7283121943473816
documento_813_100.10.001.docx,"FINAL ANSWER: Sessão de discussão pública: dia 5 de abril de 2023, nas instalações da Direção‑Geral da Legislação. Passo seguinte: após a receção dos contributos, o projeto será revisto e reencaminhado para votação na próxima sessão legislativa da Assembleia da República. 
“... sessão de discussão pública, a realizar no dia 5 de abril de 2023, nas instalações desta Direção‑Geral ...”; “... após a recepção dos contributos e eventuais sugestões, seja revisto e reencaminhado para votação na próxima sessão legislativa da Assembleia da República.” 
Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_813_100.10.001.docx","A sessão de discussão pública ocorrerá no dia 5 de abril de 2023, nas instalações da Direção-Geral da Legislação. Após a recepção dos contributos e eventuais sugestões, o projeto de lei será revisto e reencaminhado para votação na próxima sessão legislativa da Assembleia da República.",True,False,False,0.9459459459459459,0.5625,0.6749999950281251,0.8181818181818182,0.717391304347826,0.8614708185195923
documento_997_100.20.200.docx,"FINAL ANSWER: No Documento Gerado #997 (25/10/2023), os “esquemas sintetizadores” estão “disponíveis no portal institucional da Direção‑Geral de Normas e Regulamentações”. A consequência prevista para os serviços que não cumprirem as orientações é que “o não cumprimento das diretrizes aqui apresentadas poderá resultar em responsabilidades administrativas.” Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_997_100.20.200.docx",Os esquemas sintetizadores estão disponíveis no portal institucional da Direção-Geral de Normas e Regulamentações. O não cumprimento das orientações pode resultar em responsabilidades administrativas.,True,False,False,0.96,0.2571428571428571,0.3555555505777778,0.45,0.37151909989293497,0.7818796634674072
documento_804_100.10.02.docx,"FINAL ANSWER: Setembro de 2023; R$ 1.500,00; autorização nº 2023/784. 
Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_804_100.10.02.docx — “referente à taxa de ocupação de espaço público correspondente ao mês de setembro de 2023… O valor a ser pago … é de R$ 1.500,00… conforme autorização nº 2023/784.”","Refere-se ao mês de setembro de 2023, no valor de R$ 1.500,00, vinculada à autorização nº 2023/784.",True,False,False,0.7777777777777778,0.3157894736842105,0.44444443961591223,0.6,0.32352941176470584,0.8098605871200562
documento_199_100.20.001.docx,"FINAL ANSWER: 
- Quem solicitou o esclarecimento: a Comissão de Acesso aos Documentos Administrativos (CADA). Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_199_100.20.001.docx — “pedido de esclarecimento … apresentado pela Comissão de Acesso aos Documentos Administrativos (CADA)”.

- A quem se aplica o Decreto‑Lei n.º 123/2023: “a todos os órgãos e entidades da Administração Pública, incluindo as entidades reguladoras, nas suas funções de supervisão e fiscalização”, abrangendo como “informação pública … todos os documentos elaborados ou recebidos no exercício das suas funções”. Fonte: mesmo documento e caminho acima.

- Exceções ao acesso do artigo 5.º e interpretação: o artigo 5.º prevê “exceções ao direito de acesso, incluindo a proteção de dados pessoais e a defesa da segurança nacional” e a sua aplicação “deve ser feita restritivamente, de forma a não comprometer o princípio da transparência”. Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_199_100.20.001.docx.","O pedido foi apresentado pela Comissão de Acesso aos Documentos Administrativos (CADA). O Decreto-Lei n.º 123/2023 aplica-se a todos os órgãos e entidades da Administração Pública, incluindo as entidades reguladoras nas suas funções de supervisão e fiscalização, abrangendo como ‘informação pública’ todos os documentos elaborados ou recebidos no exercício das suas funções. O artigo 5.º prevê exceções relativas à proteção de dados pessoais e à defesa da segurança nacional, que devem ser interpretadas de forma restritiva, para não comprometer o princípio da transparência.",True,False,False,0.8840579710144928,0.3375,0.49090908623305796,0.675,0.305632759103656,0.7350488901138306
documento_250_100.10.5.docx,"FINAL ANSWER: 
- Proprietário registado: Sr. Paulo Ferreira. ""se encontra registado em nome do Sr. Paulo Ferreira""
- Nº e data do registo: 123456789, datado de 15 de março de 2015. ""documento de registo datado de 15 de Março de 2015, sob o número de registo 123456789""
- Data da compra e venda: 12 de fevereiro de 2015. ""- Transação de Compra e Venda: Formalizada em 12 de Fevereiro de 2015.""
- Anexos e base legal: Certidão de teor e planta do imóvel, ao abrigo do artigo 123 do Código do Registo Predial. ""- Anexos: Certidão de teor e planta do imóvel, conforme o artigo 123 do Código do Registo Predial.""
- Quem pode requerer atualização: o proprietário ou mandatário com procuração específica autenticada. ""qualquer alteração ou atualização ao registo deverá ser solicitada diretamente pelo proprietário ou mediante procuração específica, devidamente autenticada.""

Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_250_100.10.5.docx","O imóvel está registado em nome do Sr. Paulo Ferreira, sob o número de registo 123456789, datado de 15 de Março de 2015. A transação de compra e venda foi formalizada em 12 de Fevereiro de 2015. Consta como anexos a certidão de teor e a planta do imóvel, conforme o artigo 123 do Código do Registo Predial. Qualquer alteração ou atualização ao registo deve ser solicitada diretamente pelo proprietário ou mediante procuração específica, devidamente autenticada.",True,False,False,0.8909090909090909,0.23728813559322035,0.389610386027998,0.8235294117647058,0.12064301211165548,0.7058640122413635
documento_486_100.10.01.02.docx,"FINAL ANSWER: 
- Data‑limite de submissão: 28 de fevereiro de 2023 (“submetidas até à data limite de 28 de fevereiro de 2023”). Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_486_100.10.01.02.docx
- Candidaturas recebidas e elegíveis: 150 recebidas; 120 consideradas elegíveis (“Foram recebidas um total de 150 candidaturas, das quais 120 foram consideradas elegíveis”). Fonte: mesmo documento.
- Critérios de avaliação: 
  - Cumprimento dos requisitos académicos mínimos;
  - Qualidade do projeto de investigação;
  - Relevância da experiência prévia na área. Fonte: mesmo documento.
- Candidatos aprovados e respetivos mestrados:
  - Maria Silva — Mestrado em Biologia Molecular
  - João Pereira — Mestrado em Gestão de Projetos
  - Ana Costa — Mestrado em Psicologia Clínica
  - Luís Almeida — Mestrado em Engenharia Informática
  - Sofia Martins — Mestrado em Educação e Ensino
  Fonte: C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_486_100.10.01.02.docx","Data-limite de submissão: 28 de fevereiro de 2023.
Candidaturas recebidas: 150.
Candidaturas elegíveis: 120.
Critérios de avaliação: (1) Cumprimento dos requisitos académicos mínimos para acesso ao 2º ciclo de estudos; (2) Qualidade do projeto de investigação apresentado; (3) Relevância da experiência prévia na área de estudo.
Candidatos aprovados: Maria Silva – Mestrado em Biologia Molecular; João Pereira – Mestrado em Gestão de Projetos; Ana Costa – Mestrado em Psicologia Clínica; Luís Almeida – Mestrado em Engenharia Informática; Sofia Martins – Mestrado em Educação e Ensino.",True,False,False,0.8461538461538461,0.25316455696202533,0.4077669856348384,0.7894736842105263,0.28545964938651275,0.6315130591392517
